0.00133,0.02,0.0035,5.0E-4,0.023,0.19,1.13,0.045,35.0,-144.24677
0.00133,0.02,0.0035,5.0E-4,0.023,0.19,1.13,0.043370184,35.0,-145.10756
0.00133,0.02,0.0035,5.0E-4,0.023,0.19,1.13,0.041586623,35.0,-146.0069
0.00133,0.02,0.0035,5.0E-4,0.023,0.19,1.13,0.041179948,35.0,-146.28105
0.00133,0.02,0.0035,5.0E-4,0.023,0.19,1.13,0.04269365,35.0,-145.45874
0.00133,0.02,0.0035,5.0E-4,0.023,0.19,1.13,0.045606676,35.0,-144.31458
0.00133,0.02,0.0035,5.0E-4,0.023,0.19,1.13,0.04916082,35.0,-143.36153
0.00133,0.02,0.0035,5.0E-4,0.023,0.19,1.13,0.04733791,35.0,-143.76729
0.00133,0.02,0.0035,5.0E-4,0.023,0.19,1.13,0.046853997,35.0,-143.91873
0.00133,0.02,0.0035,5.0E-4,0.023,0.19,1.13,0.052244764,35.0,-142.8255
0.00133,0.02,0.0035,5.0E-4,0.023,0.19,1.13,0.053670753,35.0,-142.668
0.00133,0.02,0.0035,5.0E-4,0.023,0.19,1.13,0.057471327,35.0,-142.32863
0.00133,0.02,0.0035,5.0E-4,0.023,0.19,1.13,0.056900565,35.0,-142.35938
0.00133,0.02,0.0035,5.0E-4,0.023,0.19,1.13,0.05649617,35.0,-142.39148
0.00133,0.02,0.0035,5.0E-4,0.023,0.19,1.13,0.053622738,35.0,-142.6742
0.00133,0.02,0.0035,5.0E-4,0.023,0.19,1.13,0.0540951,35.0,-142.6221
0.00133,0.02,0.0035,5.0E-4,0.023,0.19,1.13,0.046908252,35.0,-143.86871
0.00133,0.02,0.0035,5.0E-4,0.023,0.19,1.13,0.051267907,35.0,-142.9922
0.00133,0.02,0.0035,5.0E-4,0.023,0.19,1.13,0.05057909,35.0,-143.08963
0.00133,0.02,0.0035,5.0E-4,0.023,0.19,1.13,0.0486328,35.0,-143.44916
0.00133,0.02,0.0035,5.0E-4,0.023,0.19,1.13,0.047738686,35.0,-143.67383
